0;3.037976;0.001;3.80124;0.00078
3;6.493416;0.001;1.74335;0.00078
6;10.16624;0.001;0.908262;0.00078
9;14.02904;0.001;0.381454;0.00078
12;18.69424;0.001;0.0507527;0.00078
15;23.17472;0.001;0.00633601;0.00078
18;28.49528;0.001;0.00759675;0.00078
21.2864;38.97232;0.001;0.262653;0.00078
24.3492;47.086;0.001;0.0948785;0.00078
27.7948;54.79616;0.001;0.117475;0.00078
31.317;66.96232;0.001;0.330378;0.00078
33.9969;69.60608;0.001;0.564099;0.00078
36.0643;70.42456;0.001;0.628332;0.00078
37.9786;70.43232;0.001;0.756022;0.00078
39.9694;70.23784;0.001;0.947169;0.00078
